,year,month,day,tmax,tavg,tmin,humid,wind,sunshine,rainfall,snow,cloud,date,Cd,Cd_cumsum,Cr_reached,Ca,Ca_cumsum,Hr_reached
112,2004,4,22,24.1,15.3,10.8,73.5,2.1,2.0,0.5,0.0,0.0,2004-04-22,0.0,-143.86592836096727,False,8.3,203.1193899172057,True
483,2005,4,28,29.5,21.0,14.0,58.9,3.6,10.4,0.0,0.0,0.0,2005-04-28,0.0,-167.30285796818222,False,14.0,199.86121008274196,True
854,2006,5,4,26.7,16.9,7.0,56.0,2.0,8.9,0.0,0.0,0.0,2006-05-04,0.0,-176.79192617404325,False,9.899999999999999,201.90184629673925,True
1215,2007,4,30,19.2,12.8,5.6,52.6,1.2,0.0,3.5,0.0,0.0,2007-04-30,-0.0720588235294118,-121.96213485552481,False,5.472058823529411,203.95345820441491,True
1574,2008,4,23,14.1,11.0,7.2,77.1,3.7,1.2,2.5,0.0,0.0,2008-04-23,0.0,-154.10282180191484,False,4.0,200.82153856157802,True
1943,2009,4,27,18.2,11.2,5.5,62.8,2.6,10.1,0.0,0.0,2.8,2009-04-27,-0.08858267716535434,-157.4091298615239,False,4.938582677165354,199.92355719196715,True
2316,2010,5,5,26.5,21.4,13.1,54.3,2.6,3.9,0.0,0.0,8.3,2010-05-05,0.0,-155.38666581085167,False,14.399999999999999,204.9149495176601,True
2682,2011,5,6,21.4,16.6,10.4,61.5,2.6,0.2,0.1,0.0,7.9,2011-05-06,0.0,-183.9973315443121,False,9.600000000000001,203.31655868739148,True
3042,2012,4,30,27.5,20.0,9.9,51.0,3.3,12.5,0.0,0.0,0.8,2012-04-30,0.0,-166.78062710863483,False,13.0,207.07630137016884,True
3414,2013,5,7,27.7,17.5,7.9,52.0,1.8,11.0,0.0,0.0,0.3,2013-05-07,0.0,-181.79202761106936,False,10.5,200.75263055588766,True
3759,2014,4,19,19.0,14.1,9.5,51.4,3.4,4.3,0.0,0.0,7.3,2014-04-19,0.0,-122.57557352142234,False,7.1,204.51103349422098,True
4132,2015,4,27,26.2,17.8,9.5,46.8,1.9,11.9,0.0,0.0,2.0,2015-04-27,0.0,-143.8737700297586,False,10.8,207.48545096532848,True
4493,2016,4,22,25.6,16.5,12.5,73.0,2.1,8.6,0.0,0.0,0.0,2016-04-22,0.0,-140.43068919993084,False,9.5,203.25639109540768,True
4862,2017,4,26,19.7,14.5,10.5,40.9,2.1,9.6,0.0,0.0,0.0,2017-04-26,0.0,-150.7503091766292,False,7.5,202.05871887297957,True
5223,2018,4,22,19.3,15.7,9.6,67.1,2.1,1.0,1.1,0.0,0.0,2018-04-22,0.0,-134.56691086836824,False,8.7,202.5105766648459,True
5600,2019,5,4,26.9,16.2,6.2,48.9,1.0,10.1,0.0,0.0,5.1,2019-05-04,-0.015458937198067626,-153.39214101021872,False,9.565458937198066,206.7627899342963,True
5961,2020,5,1,29.1,21.7,14.8,68.0,1.9,8.7,0.0,0.0,3.8,2020-05-01,0.0,-135.60090665361196,False,14.7,200.23198510086874,True
6315,2021,4,21,28.7,18.1,5.7,46.4,1.0,10.8,0.0,0.0,5.9,2021-04-21,-0.0367391304347826,-87.42092417845984,True,10.236739130434783,199.58393701792195,True
6682,2022,4,23,24.4,16.3,9.3,63.3,0.8,8.1,0.0,0.0,7.5,2022-04-23,0.0,-124.776230773179,False,9.3,199.33693004592072,True
7042,2023,4,18,15.8,13.7,11.3,84.3,1.3,0.0,1.6,0.0,8.3,2023-04-18,0.0,-122.39558675023993,False,6.699999999999999,203.12405742519692,True
7402,2024,4,18,24.7,15.6,6.7,56.0,1.2,11.5,0.0,0.0,0.0,2024-04-18,-0.002499999999999997,-112.64816455239733,False,8.702499999999999,201.17983753080898,True
