DVS,full_bloom_date
104.69322061506378,2004-04-11
100.6399344761639,2005-04-18
101.51997974968351,2006-04-15
103.03385921141312,2007-04-14
101.67643529173863,2008-04-13
106.46538512856407,2009-04-10
101.4209425715722,2010-04-25
103.43527585343485,2011-04-21
101.51948801208043,2012-04-20
101.6012507320805,2013-04-19
101.58804348102841,2014-04-09
103.04199243170599,2015-04-15
101.16840174175486,2016-04-07
102.36476946926567,2017-04-08
100.58646975318175,2018-04-07
100.11785468996116,2019-04-10
100.35911249237037,2020-04-03
100.27497840956188,2021-03-31
105.21628920787253,2022-04-10
100.4270974610971,2023-03-31
102.631366909012,2024-04-07
